"Profile","Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)"
"awmf-guideline-record-s2e","Composition.relatesTo:citeAs.id","Composition.relatesTo.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"ele-1
",""
"awmf-guideline-record-s2e","Composition.relatesTo:citeAs.extension","Composition.relatesTo.extension","","","",0,*,"","","","Extension {[]} {[]}
","Extension","An Extension","","","","","","","","","",,,,,"","value:url}
","",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"awmf-guideline-record-s2e","Composition.relatesTo:citeAs.extension:classifier","Composition.relatesTo.extension","classifier","","",0,1,"","","","Extension {[CanonicalType[http://hl7.org/fhir/uv/ebm/StructureDefinition/relatesto-classifier]]} {[]}
","A classifier of the target artifact in a relatesTo element","A classifier of the target artifact in a relatesTo element.","","","","","","","","","",,,,,"",,,,"Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"awmf-guideline-record-s2e","Composition.relatesTo:citeAs.modifierExtension","Composition.relatesTo.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","Y","Extension {[]} {[]}
","Extensions that cannot be ignored even if unrecognized","May be used to represent additional information that is not part of the basic definition of the element and that modifies the understanding of the element in which it is contained and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and managable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](http://build.fhir.org/extensibility.html#modifierExtension).","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"awmf-guideline-record-s2e","Composition.relatesTo:citeAs.type","Composition.relatesTo.type","","","",1,1,"","","","code {[]} {[]}
","documentation | justification | predecessor | successor | derived-from | depends-on | composed-of | part-of | amends | amended-with | appends | appended-with | cites | cited-by | comments-on | comment-in | contains | contained-in | corrects | correction-in | replaces | replaced-with | retracts | retracted-by | signs | similar-to | supports | supported-with | transforms | transformed-into | transformed-with | specification-of | created-with | cite-as | summarizes","The type of relationship to the related artifact.","","","","","","<valueCode xmlns=""http://hl7.org/fhir"" value=""cite-as""/>","","","",,"required","The type of relationship to the related artifact.","http://hl7.org/fhir/ValueSet/artifact-relationship-type|6.0.0-ballot3","",,,,"Composition.relatesTo.type",1,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"awmf-guideline-record-s2e","Composition.relatesTo:citeAs.target[x]","Composition.relatesTo.target[x]","","","",1,1,"","","","uri {[]} {[]}
Attachment {[]} {[]}canonical {[]} {[CanonicalType[http://hl7.org/fhir/StructureDefinition/Resource|6.0.0-ballot3]]}Reference {[]} {[CanonicalType[http://hl7.org/fhir/StructureDefinition/Resource|6.0.0-ballot3]]}markdown {[]} {[]}","The artifact that is related to this Composition","The artifact that is related to this Composition Resource.","","","","","","","","","",,,,,"",,,,"Composition.relatesTo.target[x]",1,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"awmf-guideline-record-s2e","Composition.relatesTo:partOf","Composition.relatesTo","partOf","","",0,*,"","","","BackboneElement {[]} {[]}
","Relationships to other compositions/documents","Relationships that this composition has with other compositions or documents (FHIR or non-FHIR resources) that already exist.","To reference (using relatesTo) a Bundle of type ""document"" or another Composition where you only have the identifier, use a targetReference with an identifier.\
When a Composition is an alternate representation of another type of document e.g. CDA, the other document could be referenced in a DocumentReference resource.  
Here is an example of using relatesTo to reference another Bundle of type ""document"" or Composition where you only have the identifier:
```
""relatesTo"": [{
  ""type"": ""replaces"",
  ""targetReference"": {
    ""identifier"": { 
      ""system"": ""..."", 
      ""value"": ""...""
    }
  } 
}]
```","","","","","","","","",,,,,"",,,,"Composition.relatesTo",0,*,"","ele-1:All FHIR elements must have a @value or children or both {hasValue() or (children().count() > id.count())}
"
"awmf-guideline-record-s2e","Composition.relatesTo:partOf.id","Composition.relatesTo.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"ele-1
",""
"awmf-guideline-record-s2e","Composition.relatesTo:partOf.extension","Composition.relatesTo.extension","","","",0,*,"","","","Extension {[]} {[]}
","Extension","An Extension","","","","","","","","","",,,,,"","value:url}
","",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"awmf-guideline-record-s2e","Composition.relatesTo:partOf.extension:classifier","Composition.relatesTo.extension","classifier","","",0,1,"","","","Extension {[CanonicalType[http://hl7.org/fhir/uv/ebm/StructureDefinition/relatesto-classifier]]} {[]}
","A classifier of the target artifact in a relatesTo element","A classifier of the target artifact in a relatesTo element.","","","","","","","","","",,,,,"",,,,"Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"awmf-guideline-record-s2e","Composition.relatesTo:partOf.modifierExtension","Composition.relatesTo.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","Y","Extension {[]} {[]}
","Extensions that cannot be ignored even if unrecognized","May be used to represent additional information that is not part of the basic definition of the element and that modifies the understanding of the element in which it is contained and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and managable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](http://build.fhir.org/extensibility.html#modifierExtension).","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"awmf-guideline-record-s2e","Composition.relatesTo:partOf.type","Composition.relatesTo.type","","","",1,1,"","","","code {[]} {[]}
","documentation | justification | predecessor | successor | derived-from | depends-on | composed-of | part-of | amends | amended-with | appends | appended-with | cites | cited-by | comments-on | comment-in | contains | contained-in | corrects | correction-in | replaces | replaced-with | retracts | retracted-by | signs | similar-to | supports | supported-with | transforms | transformed-into | transformed-with | specification-of | created-with | cite-as | summarizes","The type of relationship to the related artifact.","","","","","","<valueCode xmlns=""http://hl7.org/fhir"" value=""part-of""/>","","","",,"required","The type of relationship to the related artifact.","http://hl7.org/fhir/ValueSet/artifact-relationship-type|6.0.0-ballot3","",,,,"Composition.relatesTo.type",1,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"awmf-guideline-record-s2e","Composition.relatesTo:partOf.target[x]","Composition.relatesTo.target[x]","","","",1,1,"","","","uri {[]} {[]}
Attachment {[]} {[]}canonical {[]} {[CanonicalType[http://hl7.org/fhir/StructureDefinition/Resource|6.0.0-ballot3]]}Reference {[]} {[CanonicalType[http://hl7.org/fhir/StructureDefinition/Resource|6.0.0-ballot3]]}markdown {[]} {[]}","The artifact that is related to this Composition","The artifact that is related to this Composition Resource.","","","","","","","","","",,,,,"",,,,"Composition.relatesTo.target[x]",1,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"awmf-guideline-record-s2e","Composition.relatesTo:derivedFrom","Composition.relatesTo","derivedFrom","","",0,*,"","","","BackboneElement {[]} {[]}
","Relationships to other compositions/documents","Relationships that this composition has with other compositions or documents (FHIR or non-FHIR resources) that already exist.","To reference (using relatesTo) a Bundle of type ""document"" or another Composition where you only have the identifier, use a targetReference with an identifier.\
When a Composition is an alternate representation of another type of document e.g. CDA, the other document could be referenced in a DocumentReference resource.  
Here is an example of using relatesTo to reference another Bundle of type ""document"" or Composition where you only have the identifier:
```
""relatesTo"": [{
  ""type"": ""replaces"",
  ""targetReference"": {
    ""identifier"": { 
      ""system"": ""..."", 
      ""value"": ""...""
    }
  } 
}]
```","","","","","","","","",,,,,"",,,,"Composition.relatesTo",0,*,"","ele-1:All FHIR elements must have a @value or children or both {hasValue() or (children().count() > id.count())}
"
"awmf-guideline-record-s2e","Composition.relatesTo:derivedFrom.id","Composition.relatesTo.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"ele-1
",""
"awmf-guideline-record-s2e","Composition.relatesTo:derivedFrom.extension","Composition.relatesTo.extension","","","",0,*,"","","","Extension {[]} {[]}
","Extension","An Extension","","","","","","","","","",,,,,"","value:url}
","",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"awmf-guideline-record-s2e","Composition.relatesTo:derivedFrom.extension:classifier","Composition.relatesTo.extension","classifier","","",0,1,"","","","Extension {[CanonicalType[http://hl7.org/fhir/uv/ebm/StructureDefinition/relatesto-classifier]]} {[]}
","A classifier of the target artifact in a relatesTo element","A classifier of the target artifact in a relatesTo element.","","","","","","","","","",,,,,"",,,,"Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"awmf-guideline-record-s2e","Composition.relatesTo:derivedFrom.modifierExtension","Composition.relatesTo.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","Y","Extension {[]} {[]}
","Extensions that cannot be ignored even if unrecognized","May be used to represent additional information that is not part of the basic definition of the element and that modifies the understanding of the element in which it is contained and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and managable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](http://build.fhir.org/extensibility.html#modifierExtension).","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"awmf-guideline-record-s2e","Composition.relatesTo:derivedFrom.type","Composition.relatesTo.type","","","",1,1,"","","","code {[]} {[]}
","documentation | justification | predecessor | successor | derived-from | depends-on | composed-of | part-of | amends | amended-with | appends | appended-with | cites | cited-by | comments-on | comment-in | contains | contained-in | corrects | correction-in | replaces | replaced-with | retracts | retracted-by | signs | similar-to | supports | supported-with | transforms | transformed-into | transformed-with | specification-of | created-with | cite-as | summarizes","The type of relationship to the related artifact.","","","","","","<valueCode xmlns=""http://hl7.org/fhir"" value=""derived-from""/>","","","",,"required","The type of relationship to the related artifact.","http://hl7.org/fhir/ValueSet/artifact-relationship-type|6.0.0-ballot3","",,,,"Composition.relatesTo.type",1,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"awmf-guideline-record-s2e","Composition.relatesTo:derivedFrom.target[x]","Composition.relatesTo.target[x]","","","",1,1,"","","","uri {[]} {[]}
Attachment {[]} {[]}canonical {[]} {[CanonicalType[http://hl7.org/fhir/StructureDefinition/Resource|6.0.0-ballot3]]}Reference {[]} {[CanonicalType[http://hl7.org/fhir/StructureDefinition/Resource|6.0.0-ballot3]]}markdown {[]} {[]}","The artifact that is related to this Composition","The artifact that is related to this Composition Resource.","","","","","","","","","",,,,,"",,,,"Composition.relatesTo.target[x]",1,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"awmf-guideline-record-s2e","Composition.relatesTo:specificationOf","Composition.relatesTo","specificationOf","","",0,*,"","","","BackboneElement {[]} {[]}
","Relationships to other compositions/documents","Relationships that this composition has with other compositions or documents (FHIR or non-FHIR resources) that already exist.","To reference (using relatesTo) a Bundle of type ""document"" or another Composition where you only have the identifier, use a targetReference with an identifier.\
When a Composition is an alternate representation of another type of document e.g. CDA, the other document could be referenced in a DocumentReference resource.  
Here is an example of using relatesTo to reference another Bundle of type ""document"" or Composition where you only have the identifier:
```
""relatesTo"": [{
  ""type"": ""replaces"",
  ""targetReference"": {
    ""identifier"": { 
      ""system"": ""..."", 
      ""value"": ""...""
    }
  } 
}]
```","","","","","","","","",,,,,"",,,,"Composition.relatesTo",0,*,"","ele-1:All FHIR elements must have a @value or children or both {hasValue() or (children().count() > id.count())}
"
"awmf-guideline-record-s2e","Composition.relatesTo:specificationOf.id","Composition.relatesTo.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"ele-1
",""
"awmf-guideline-record-s2e","Composition.relatesTo:specificationOf.extension","Composition.relatesTo.extension","","","",0,*,"","","","Extension {[]} {[]}
","Extension","An Extension","","","","","","","","","",,,,,"","value:url}
","",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"awmf-guideline-record-s2e","Composition.relatesTo:specificationOf.extension:classifier","Composition.relatesTo.extension","classifier","","",0,1,"","","","Extension {[CanonicalType[http://hl7.org/fhir/uv/ebm/StructureDefinition/relatesto-classifier]]} {[]}
","A classifier of the target artifact in a relatesTo element","A classifier of the target artifact in a relatesTo element.","","","","","","","","","",,,,,"",,,,"Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"awmf-guideline-record-s2e","Composition.relatesTo:specificationOf.modifierExtension","Composition.relatesTo.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","Y","Extension {[]} {[]}
","Extensions that cannot be ignored even if unrecognized","May be used to represent additional information that is not part of the basic definition of the element and that modifies the understanding of the element in which it is contained and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and managable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](http://build.fhir.org/extensibility.html#modifierExtension).","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"awmf-guideline-record-s2e","Composition.relatesTo:specificationOf.type","Composition.relatesTo.type","","","",1,1,"","","","code {[]} {[]}
","documentation | justification | predecessor | successor | derived-from | depends-on | composed-of | part-of | amends | amended-with | appends | appended-with | cites | cited-by | comments-on | comment-in | contains | contained-in | corrects | correction-in | replaces | replaced-with | retracts | retracted-by | signs | similar-to | supports | supported-with | transforms | transformed-into | transformed-with | specification-of | created-with | cite-as | summarizes","The type of relationship to the related artifact.","","","","","","<valueCode xmlns=""http://hl7.org/fhir"" value=""specification-of""/>","","","",,"required","The type of relationship to the related artifact.","http://hl7.org/fhir/ValueSet/artifact-relationship-type|6.0.0-ballot3","",,,,"Composition.relatesTo.type",1,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"awmf-guideline-record-s2e","Composition.relatesTo:specificationOf.target[x]","Composition.relatesTo.target[x]","","","",1,1,"","","","uri {[]} {[]}
Attachment {[]} {[]}canonical {[]} {[CanonicalType[http://hl7.org/fhir/StructureDefinition/Resource|6.0.0-ballot3]]}Reference {[]} {[CanonicalType[http://hl7.org/fhir/StructureDefinition/Resource|6.0.0-ballot3]]}markdown {[]} {[]}","The artifact that is related to this Composition","The artifact that is related to this Composition Resource.","","","","","","","","","",,,,,"",,,,"Composition.relatesTo.target[x]",1,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"awmf-guideline-record-s2e","Composition.relatesTo:dependsOn","Composition.relatesTo","dependsOn","","",0,*,"","","","BackboneElement {[]} {[]}
","Relationships to other compositions/documents","Relationships that this composition has with other compositions or documents (FHIR or non-FHIR resources) that already exist.","To reference (using relatesTo) a Bundle of type ""document"" or another Composition where you only have the identifier, use a targetReference with an identifier.\
When a Composition is an alternate representation of another type of document e.g. CDA, the other document could be referenced in a DocumentReference resource.  
Here is an example of using relatesTo to reference another Bundle of type ""document"" or Composition where you only have the identifier:
```
""relatesTo"": [{
  ""type"": ""replaces"",
  ""targetReference"": {
    ""identifier"": { 
      ""system"": ""..."", 
      ""value"": ""...""
    }
  } 
}]
```","","","","","","","","",,,,,"",,,,"Composition.relatesTo",0,*,"","ele-1:All FHIR elements must have a @value or children or both {hasValue() or (children().count() > id.count())}
"
"awmf-guideline-record-s2e","Composition.relatesTo:dependsOn.id","Composition.relatesTo.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"ele-1
",""
"awmf-guideline-record-s2e","Composition.relatesTo:dependsOn.extension","Composition.relatesTo.extension","","","",0,*,"","","","Extension {[]} {[]}
","Extension","An Extension","","","","","","","","","",,,,,"","value:url}
","",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"awmf-guideline-record-s2e","Composition.relatesTo:dependsOn.extension:classifier","Composition.relatesTo.extension","classifier","","",0,1,"","","","Extension {[CanonicalType[http://hl7.org/fhir/uv/ebm/StructureDefinition/relatesto-classifier]]} {[]}
","A classifier of the target artifact in a relatesTo element","A classifier of the target artifact in a relatesTo element.","","","","","","","","","",,,,,"",,,,"Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"awmf-guideline-record-s2e","Composition.relatesTo:dependsOn.modifierExtension","Composition.relatesTo.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","Y","Extension {[]} {[]}
","Extensions that cannot be ignored even if unrecognized","May be used to represent additional information that is not part of the basic definition of the element and that modifies the understanding of the element in which it is contained and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and managable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](http://build.fhir.org/extensibility.html#modifierExtension).","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"awmf-guideline-record-s2e","Composition.relatesTo:dependsOn.type","Composition.relatesTo.type","","","",1,1,"","","","code {[]} {[]}
","documentation | justification | predecessor | successor | derived-from | depends-on | composed-of | part-of | amends | amended-with | appends | appended-with | cites | cited-by | comments-on | comment-in | contains | contained-in | corrects | correction-in | replaces | replaced-with | retracts | retracted-by | signs | similar-to | supports | supported-with | transforms | transformed-into | transformed-with | specification-of | created-with | cite-as | summarizes","The type of relationship to the related artifact.","","","","","","<valueCode xmlns=""http://hl7.org/fhir"" value=""depends-on""/>","","","",,"required","The type of relationship to the related artifact.","http://hl7.org/fhir/ValueSet/artifact-relationship-type|6.0.0-ballot3","",,,,"Composition.relatesTo.type",1,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"awmf-guideline-record-s2e","Composition.relatesTo:dependsOn.target[x]","Composition.relatesTo.target[x]","","","",1,1,"","","","uri {[]} {[]}
Attachment {[]} {[]}canonical {[]} {[CanonicalType[http://hl7.org/fhir/StructureDefinition/Resource|6.0.0-ballot3]]}Reference {[]} {[CanonicalType[http://hl7.org/fhir/StructureDefinition/Resource|6.0.0-ballot3]]}markdown {[]} {[]}","The artifact that is related to this Composition","The artifact that is related to this Composition Resource.","","","","","","","","","",,,,,"",,,,"Composition.relatesTo.target[x]",1,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"awmf-guideline-record-s2e","Composition.relatesTo:supportedWith","Composition.relatesTo","supportedWith","","",0,*,"","","","BackboneElement {[]} {[]}
","Relationships to other compositions/documents","Relationships that this composition has with other compositions or documents (FHIR or non-FHIR resources) that already exist.","To reference (using relatesTo) a Bundle of type ""document"" or another Composition where you only have the identifier, use a targetReference with an identifier.\
When a Composition is an alternate representation of another type of document e.g. CDA, the other document could be referenced in a DocumentReference resource.  
Here is an example of using relatesTo to reference another Bundle of type ""document"" or Composition where you only have the identifier:
```
""relatesTo"": [{
  ""type"": ""replaces"",
  ""targetReference"": {
    ""identifier"": { 
      ""system"": ""..."", 
      ""value"": ""...""
    }
  } 
}]
```","","","","","","","","",,,,,"",,,,"Composition.relatesTo",0,*,"","ele-1:All FHIR elements must have a @value or children or both {hasValue() or (children().count() > id.count())}
"
"awmf-guideline-record-s2e","Composition.relatesTo:supportedWith.id","Composition.relatesTo.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"ele-1
",""
"awmf-guideline-record-s2e","Composition.relatesTo:supportedWith.extension","Composition.relatesTo.extension","","","",0,*,"","","","Extension {[]} {[]}
","Extension","An Extension","","","","","","","","","",,,,,"","value:url}
","",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"awmf-guideline-record-s2e","Composition.relatesTo:supportedWith.extension:classifier","Composition.relatesTo.extension","classifier","","",0,1,"","","","Extension {[CanonicalType[http://hl7.org/fhir/uv/ebm/StructureDefinition/relatesto-classifier]]} {[]}
","A classifier of the target artifact in a relatesTo element","A classifier of the target artifact in a relatesTo element.","","","","","","","","","",,,,,"",,,,"Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"awmf-guideline-record-s2e","Composition.relatesTo:supportedWith.modifierExtension","Composition.relatesTo.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","Y","Extension {[]} {[]}
","Extensions that cannot be ignored even if unrecognized","May be used to represent additional information that is not part of the basic definition of the element and that modifies the understanding of the element in which it is contained and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and managable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](http://build.fhir.org/extensibility.html#modifierExtension).","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"awmf-guideline-record-s2e","Composition.relatesTo:supportedWith.type","Composition.relatesTo.type","","","",1,1,"","","","code {[]} {[]}
","documentation | justification | predecessor | successor | derived-from | depends-on | composed-of | part-of | amends | amended-with | appends | appended-with | cites | cited-by | comments-on | comment-in | contains | contained-in | corrects | correction-in | replaces | replaced-with | retracts | retracted-by | signs | similar-to | supports | supported-with | transforms | transformed-into | transformed-with | specification-of | created-with | cite-as | summarizes","The type of relationship to the related artifact.","","","","","","<valueCode xmlns=""http://hl7.org/fhir"" value=""supported-with""/>","","","",,"required","The type of relationship to the related artifact.","http://hl7.org/fhir/ValueSet/artifact-relationship-type|6.0.0-ballot3","",,,,"Composition.relatesTo.type",1,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"awmf-guideline-record-s2e","Composition.relatesTo:supportedWith.target[x]","Composition.relatesTo.target[x]","","","",1,1,"","","","uri {[]} {[]}
Attachment {[]} {[]}canonical {[]} {[CanonicalType[http://hl7.org/fhir/StructureDefinition/Resource|6.0.0-ballot3]]}Reference {[]} {[CanonicalType[http://hl7.org/fhir/StructureDefinition/Resource|6.0.0-ballot3]]}markdown {[]} {[]}","The artifact that is related to this Composition","The artifact that is related to this Composition Resource.","","","","","","","","","",,,,,"",,,,"Composition.relatesTo.target[x]",1,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
